StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,consent,signature _Id,signature _Name,signature _Size,signature _Type,Adult,SA,choice_set1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,QC_agree,evaluation _1,evaluation _2,evaluation _3,evaluation _4,"prefer_space ",mode_transport ,mode_transport _6_TEXT,"type ",type _8_TEXT,use ,use _5_TEXT,"bond ",bond_no_1,bond_no_2,bond_no_3,bond_no_4,bond_no_5,water_values ,Q144,"safety ",safety_features ,safety_features _5_TEXT,Q110,age,gender,gender_4_TEXT,"hispanic ",race,race_6_TEXT,zipcode,Q142,Q143,"az ",Q111,Q111_51_TEXT,"housing_type ",housing_type _7_TEXT,membership,membership_8_TEXT,education,income,disability,"comments ",participantID,age,gender,householdincome
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_DuplicateRespondent,I consent to participating in this study on greenspaces in Southern Arizona.,Sign below using your finger or a clicker to consent to participate in this study: - Id,Sign below using your finger or a clicker to consent to participate in this study: - Name,Sign below using your finger or a clicker to consent to participate in this study: - Size,Sign below using your finger or a clicker to consent to participate in this study: - Type,Are you an adult over the age of 18?,Are you currently living in Southern Arizona?,"Please answer this example question to practice before we get to the 9 real questions: 
Which park would you choose?


	
		
			Attribute
			
				Park A
			
			
				Park B
			
		
	

	
		
			
				Distance
			
			
				🚗 Greater than 4 miles
			
			
				🚶 Less than 1 mile
			
		

		
			
				Amenities
			
			
				🧺 Gathering areas
			
			
				🚫 No additional amenities
			
		

		
			
				Plant type
			
			
				🌺 Mostly non-native plants 
			
				🌵 Mostly native plants 
		

		
			
				Safety
			
			🚓  Patrol
			
			
				💡 Night lighting
		

		
			
				Shade
			
			
				 ⛱️ Shade from tree
			 ☀️ No shade 
		

		
			
				Accessibility
			
			
				♿ Paved accessible paths
			
				🚫 No paved accessible paths","1 of 9: Which park would you choose?
AttributesPark APark B
Distance🚗 Over 4 miles🚶 Under 1 mile
Amenities🧺 Gathering spaces🛝 Nature play
Plant type🌺 Non-native plants🌵 Native plants
Safety🚓 Patrol🚫 No added safety features
Shade🌳 Shade from tree☀️ No shade
Accessibility♿ Paved accessible paths🚫 No accessible paths","2 of 9: Which park would you choose?
AttributesPark APark B
Distance🚲 2–4 miles🚗 Over 4 miles
Amenities🚫 No amenities🛝 Nature play
Plant type🌵 Native plants🌵🌺 Mixed plant types
Safety🚓 Patrol💡 Night lighting
Shade🌳 Shade from tree⛱️ Shade from ramada
Accessibility🥾 Limited accessible paths♿ Paved accessible paths","3 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚶 Under 1 mile🚗 Over 4 miles
Amenities🧺 Gathering spaces🚫 No amenities
Plant type🌵🌺 Mixed plant types🌺 Non-native plants
Safety💡 Night lighting🚫 No added safety features
Shade☀️ No shade⛱️ Shade from ramada
Accessibility🚫 No accessible paths🥾 Limited accessible paths","4 of 9: Which park would you choose?

 AttributesPark APark B
Distance🚗 Over 4 miles🚶 Under 1 mile
Amenities🧺 Gathering spaces🛝 Nature play
Plant type🌵 Native plants🌺 Non-native plants
Safety🚫 No added safety features💡 Night lighting
Shade⛱️ Shade from ramada🌳 Shade from tree
Accessibility🥾 Limited accessible paths🚫 No accessible paths","5 of 9: Which park would you choose?

 AttributesPark APark B
Distance🚗 Over 4 miles🚶 Under 1 mile
Amenities🚫 No amenities🧺 Gathering spaces
Plant type🌺 Non-native plants🌵 Native plants
Safety💡 Night lighting🚫 No added safety features
Shade☀️ No shade🌳 Shade from tree
Accessibility🥾 Limited accessible paths♿ Paved accessible paths","6 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚶 Under 1 mile🚗 Over 4 miles
Amenities🛝 Nature play🧺 Gathering spaces
Plant type🌵 Native plants🌵🌺 Mixed plant types
Safety🚓 Patrol💡 Night lighting
Shade☀️ No shade🌳 Shade from tree
Accessibility♿ Paved accessible paths🥾 Limited accessible paths","7 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚶 Under 1 mile🚲 2–4 miles
Amenities🧺 Gathering spaces🛝 Nature play
Plant type🌵🌺 Mixed plant types🌺 Non-native plants
Safety💡 Night lighting🚓 Patrol
Shade⛱️ Shade from ramada☀️ No shade
Accessibility♿ Paved accessible paths🚫 No accessible paths","8 of 9: Which park would you choose?

 AttributesPark APark B
Distance🚲 2–4 miles🚶 Under 1 mile
Amenities🧺 Gathering spaces🚫 No amenities
Plant type🌺 Non-native plants🌵🌺 Mixed plant types
Safety🚫 No added safety features🚓 Patrol
Shade☀️ No shade🌳 Shade from tree
Accessibility♿ Paved accessible paths🚫 No accessible paths","9 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚗 Over 4 miles🚲 2–4 miles
Amenities🚫 No amenities🛝 Nature play
Plant type🌵🌺 Mixed plant types🌵 Native plants
Safety🚓 Patrol💡 Night lighting
Shade⛱️ Shade from ramada🌳 Shade from tree
Accessibility🚫 No accessible paths🥾 Limited accessible paths","1 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚗 Over 4 miles🚲 2–4 miles
Amenities🚫 No amenities🧺 Gathering spaces
Plant type🌵 Native plants🌵🌺 Mixed plant types
Safety💡 Night lighting🚓 Patrol
Shade🌳 Shade from tree⛱️ Shade from ramada
Accessibility♿ Paved accessible paths🥾 Limited accessible paths","2 of 9: Which park would you choose?

 AttributesPark APark B
Distance🚗 Over 4 miles🚲 2–4 miles
Amenities🛝 Nature play🚫 No amenities
Plant type🌵🌺 Mixed plant types🌺 Non-native plants
Safety🚫 No added safety features💡 Night lighting
Shade🌳 Shade from tree⛱️ Shade from ramada
Accessibility🥾 Limited accessible paths♿ Paved accessible paths","3 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚶 Under 1 mile🚲 2–4 miles
Amenities🛝 Nature play🚫 No amenities
Plant type🌺 Non-native plants🌵🌺 Mixed plant types
Safety💡 Night lighting🚫 No added safety features
Shade⛱️ Shade from ramada☀️ No shade
Accessibility🥾 Limited accessible paths♿ Paved accessible paths","4 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚲 2–4 miles🚶 Under 1 mile
Amenities🧺 Gathering spaces🛝 Nature play
Plant type🌵 Native plants🌵🌺 Mixed plant types
Safety🚓 Patrol🚫 No added safety features
Shade🌳 Shade from tree☀️ No shade
Accessibility🚫 No accessible paths🥾 Limited accessible paths","5 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚲 2–4 miles🚶 Under 1 mile
Amenities🛝 Nature play🧺 Gathering spaces
Plant type🌵 Native plants🌺 Non-native plants
Safety💡 Night lighting🚓 Patrol
Shade☀️ No shade🌳 Shade from tree
Accessibility🚫 No accessible paths♿ Paved accessible paths","6 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚲 2–4 miles🚗 Over 4 miles
Amenities🛝 Nature play🧺 Gathering spaces
Plant type🌵🌺 Mixed plant types🌺 Non-native plants
Safety🚓 Patrol🚫 No added safety features
Shade⛱️ Shade from ramada☀️ No shade
Accessibility♿ Paved accessible paths🚫 No accessible paths","7 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚶 Under 1 mile🚲 2–4 miles
Amenities🧺 Gathering spaces🚫 No amenities
Plant type🌺 Non-native plants🌵 Native plants
Safety🚓 Patrol🚫 No added safety features
Shade☀️ No shade⛱️ Shade from ramada
Accessibility🥾 Limited accessible paths🚫 No accessible paths","8 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚲 2–4 miles🚗 Over 4 miles
Amenities🚫 No amenities🧺 Gathering spaces
Plant type🌵🌺 Mixed plant types🌵 Native plants
Safety🚫 No added safety features🚓 Patrol
Shade🌳 Shade from tree⛱️ Shade from ramada
Accessibility♿ Paved accessible paths🚫 No accessible paths","9 of 9: Which park would you choose?

 
AttributesPark APark B
Distance🚗 Over 4 miles🚶 Under 1 mile
Amenities🛝 Nature play🚫 No amenities
Plant type🌺 Non-native plants🌵 Native plants
Safety🚫 No added safety features💡 Night lighting
Shade🌳 Shade from tree☀️ No shade
Accessibility🚫 No accessible paths🥾 Limited accessible paths","To help us ensure that survey responses are being completed carefully, please select “Agree” for this question.","Considering the questions you just answered, please indicate how strongly you agree or disagree with each statement. - I found the available greenspaces made sense.","Considering the questions you just answered, please indicate how strongly you agree or disagree with each statement. - I found making a choice between different greenspaces difficult.","Considering the questions you just answered, please indicate how strongly you agree or disagree with each statement. - I believe my choices will have an impact on how greenspaces are developed in the future.","Considering the questions you just answered, please indicate how strongly you agree or disagree with each statement. - The scenarios reflected situations I could realistically imagine in my community.","How many hours do you spend in any greenspaces in Tucson (such as parks, desert trails, natural areas, or yards) per week on average?",What is your primary mode of transportation to your preferred greenspace? (Select all that apply) - Selected Choice,What is your primary mode of transportation to your preferred greenspace? (Select all that apply) - Other (please specify) - Text,What types of green spaces in Tucson do you visit or spend time in? (Select all that apply) - Selected Choice,What types of green spaces in Tucson do you visit or spend time in? (Select all that apply) - Other (please specify): - Text,What do you use the greenspace for? (Select all that apply) - Selected Choice,What do you use the greenspace for? (Select all that apply) - Other (please specify): - Text,"A public bond is a way for local governments to raise money by borrowing funds for community projects, which is typically repaid over time through taxes.

Would you be willing to support a public bond to fund greenspace initiatives?","You indicated that you would not be willing to support a public bond to fund greenspace initiatives.


Please indicate the degree to which you agree or disagree with the following statements. - I generally do not support public bonds or tax increases.","You indicated that you would not be willing to support a public bond to fund greenspace initiatives.


Please indicate the degree to which you agree or disagree with the following statements. - I cannot afford potential increases in taxes at this time.","You indicated that you would not be willing to support a public bond to fund greenspace initiatives.


Please indicate the degree to which you agree or disagree with the following statements. - Greenspace initiatives are not a high priority compared to other community needs.","You indicated that you would not be willing to support a public bond to fund greenspace initiatives.


Please indicate the degree to which you agree or disagree with the following statements. - I do not believe a public bond is an effective way to fund greenspace projects.","You indicated that you would not be willing to support a public bond to fund greenspace initiatives.


Please indicate the degree to which you agree or disagree with the following statements. - I do not trust that the funds would be used responsibly.",Which statement best reflects your views on water use?,Would you be willing to volunteer your time on a regular basis to help maintain this park at 2 hour clean-up events?,How safe do you feel when visiting your greenspace?,Which features would make you feel safer in the greenspace? (select all that apply) - Selected Choice,Which features would make you feel safer in the greenspace? (select all that apply) - Other (please specify) - Text,"Please share why you chose, or didn't choose, the safety features above:",What is your age?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,"Are you of Hispanic, Latino, or Spanish origin?",What is your race? - Selected Choice,What is your race? - Other - Text,What is your US Zip Code?,"How many people live in your household, including yourself?",How many people who live in your household are under the age of 18?,For how long have you lived in Arizona?,Where would you say you are from? - Selected Choice,Where would you say you are from? - Other - Text,What type of housing do you currently live in? - Selected Choice,What type of housing do you currently live in? - Other (please specify) - Text,Which of the following best describes your role in the community? (Select all that apply) - Selected Choice,Which of the following best describes your role in the community? (Select all that apply) - Other: - Text,What is the highest level of education you have completed?,What was your total household income before taxes during the past 12 months?,Do you identify as having a disability?,Do you have any additional comments or feedback?,participantID,age,gender,householdincome
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID1""}","{""ImportId"":""QID26_FILE_ID""}","{""ImportId"":""QID26_FILE_NAME""}","{""ImportId"":""QID26_FILE_SIZE""}","{""ImportId"":""QID26_FILE_TYPE""}","{""ImportId"":""QID109""}","{""ImportId"":""QID114""}","{""ImportId"":""QID24""}","{""ImportId"":""QID1323829097""}","{""ImportId"":""QID1323829098""}","{""ImportId"":""QID1323829099""}","{""ImportId"":""QID1323829100""}","{""ImportId"":""QID1323829101""}","{""ImportId"":""QID1323829102""}","{""ImportId"":""QID1323829103""}","{""ImportId"":""QID1323829104""}","{""ImportId"":""QID1323829105""}","{""ImportId"":""QID1323829106""}","{""ImportId"":""QID1323829107""}","{""ImportId"":""QID1323829108""}","{""ImportId"":""QID1323829109""}","{""ImportId"":""QID1323829110""}","{""ImportId"":""QID1323829111""}","{""ImportId"":""QID1323829112""}","{""ImportId"":""QID1323829113""}","{""ImportId"":""QID1323829114""}","{""ImportId"":""QID121""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID66""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_6_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID67_8_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_5_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID69_2""}","{""ImportId"":""QID69_3""}","{""ImportId"":""QID69_4""}","{""ImportId"":""QID69_5""}","{""ImportId"":""QID52""}","{""ImportId"":""QID150""}","{""ImportId"":""QID57""}","{""ImportId"":""QID60""}","{""ImportId"":""QID60_5_TEXT""}","{""ImportId"":""QID116_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID148_TEXT""}","{""ImportId"":""QID149_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID117""}","{""ImportId"":""QID117_51_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_7_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_8_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID14""}","{""ImportId"":""QID108_TEXT""}","{""ImportId"":""participantID""}","{""ImportId"":""age""}","{""ImportId"":""gender""}","{""ImportId"":""householdincome""}"
2026-06-25 13:30:14,2026-06-25 13:32:15,IP Address,100,120,True,2026-06-25 13:32:16,R_6rMRBO16zyuKrrw,anonymous,EN,1,,"Yes, I consent.",F_2S7eTG1uQewen97,signature.png,3967,image/png,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25 15:10:48,2026-06-25 15:11:44,IP Address,100,55,True,2026-06-25 15:11:45,R_7cIYPuuqnoawYtX,anonymous,EN,0.800000011920929,,"Yes, I consent.",F_293PcnAvVnG006q,signature.png,4040,image/png,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pfa844195,76,male,"$85,000 to $114,999"
2026-06-25 22:31:09,2026-06-25 22:36:55,IP Address,100,346,True,2026-06-25 22:36:56,R_5hYAHTkIisF8fwS,anonymous,EN,0.800000011920929,,"Yes, I consent.",F_81gyt22Hv9HRcOt,signature.png,14268,image/png,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pbb78b600,59,female,"$85,000 to $114,999"
2026-06-25 22:27:35,2026-06-25 22:41:06,IP Address,100,810,True,2026-06-25 22:41:07,R_5HjKJJG1P22RSZy,anonymous,EN,1,,"Yes, I consent.",F_xx49kr9Y2c9F19n,signature.png,5264,image/png,Yes,Yes,A,,,,,,,,,,B,B,A,A,B,A,A,B,B,,Agree,Neutral,Agree,Agree,3-4,Personal vehicle (car or motorcycle),,"City or neighborhood parks,Desert or natural areas",,"Exercise / Sports,Relaxing",,Yes,,,,,,,,Somewhat safe,,,,76,Male,,No,White,,85381,2,0,10+ years,,,Apartment,,Community member,,Bachelor’s degree,"$50,000-$74,999","No, I do not have a disability",,pb8e8c4b9,77,male,"$40,000 to $59,999"
2026-06-25 22:46:10,2026-06-25 22:47:50,IP Address,100,99,True,2026-06-25 22:47:51,R_6hioNbe2m3aFU0V,anonymous,EN,1,,"Yes, I consent.",F_09buvl7gjejBvJD,signature.png,7164,image/png,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pfc379ee3,69,male,"$60,000 to $84,999"
2026-06-25 22:51:48,2026-06-25 22:58:20,IP Address,100,392,True,2026-06-25 22:58:21,R_7egZP5Gd6M13MMp,anonymous,EN,0.8999999761581421,,"Yes, I consent.",F_2ydOu8mSt1EV00S,signature.png,7513,image/png,Yes,Yes,A,,,,,,,,,,B,A,A,A,B,A,A,B,B,Agree,Strongly agree,Disagree,Agree,Agree,1-2,Walking,,"Walking/biking trails,School or campus greenspaces",,"Relaxing,Socializing",,No,Neutral,Agree,Agree,Disagree,Agree,Conserving water is important but not a top priority,,Neutral,,,,19,Female,,No,Asian,,85742,2,0,3-5 years,Arizona,,Single family home,,Prefer not to say,,"Some college, but no degree","$25,000-$49,999","No, I do not have a disability","nope ",pae2bef02,19,female,"$25,000 to $39,999"
2026-06-25 22:47:53,2026-06-25 22:59:38,IP Address,100,705,True,2026-06-25 22:59:39,R_7XPgWhNVFc7isFj,anonymous,EN,1,,"Yes, I consent.",F_27U5M71Glr0y0NT,signature.png,5897,image/png,Yes,Yes,A,B,B,A,B,B,A,A,B,B,,,,,,,,,,,Agree,Neutral,Neutral,Agree,0,Personal vehicle (car or motorcycle),,"City or neighborhood parks,Private yards,Golf courses or landscaped recreational areas",,Relaxing,,Yes,,,,,,,,Somewhat safe,,,,59,Male,,No,White,,85204,3,0,10+ years,,,Apartment,,Community member,,"Some college, but no degree","$100,000-$149,999","No, I do not have a disability",,pd21c05f5,60,male,"$115,000 to $149,999"
2026-06-25 23:31:38,2026-06-25 23:40:40,IP Address,100,541,True,2026-06-25 23:40:41,R_3sNFKIsF0I2JJO9,anonymous,EN,0.800000011920929,,"Yes, I consent.",F_3kB5ozdLecUE3vQ,signature.png,8139,image/png,Yes,Yes,A,B,A,A,B,B,B,A,B,B,,,,,,,,,,Agree,Agree,Neutral,Neutral,Agree,5-6,"Bicycling,Personal vehicle (car or motorcycle)",,"City or neighborhood parks,Desert or natural areas",,"Exercise / Sports,Relaxing",,No,Agree,Strongly agree,Neutral,Disagree,Neutral,Conserving water is important but not a top priority,,Somewhat safe,,,,18,Male,,No,White,,85282,3,0,10+ years,,,Apartment,,Community member,,Some high school or less,"$50,000-$74,999","No, I do not have a disability",Nope,pa7293893,19,male,"$40,000 to $59,999"
